Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:51Rs7xpi3HxrqvN1bI0i5w,"The Stellar Ray Theory","Pray For Haiti","Mach-Hommy",2021-05-21,194652,45,true,dinismbraposo,2026-01-19T15:44:43Z,"boom bap,hip-hop experimental,hip-hop alternativo,jazz rap","Griselda Records",0.582,0.72,6,-9.362,0,0.116,0.8,0,0.238,0.693,89.994,4
spotify:track:6SP0QBGknpFuSXX4Lk8h5T,"Kriminel","Pray For Haiti","Mach-Hommy",2021-05-21,156000,38,true,dinismbraposo,2026-01-19T15:44:47Z,"boom bap,hip-hop experimental,hip-hop alternativo,jazz rap","Griselda Records",0.523,0.476,7,-10.932,1,0.0406,0.74,0,0.117,0.689,75.907,1
spotify:track:4Nf1QCvFMuwcDFk3MT2Jvz,"Pen Rale","Pray For Haiti","Mach-Hommy",2021-05-21,101341,34,true,dinismbraposo,2026-01-19T15:44:49Z,"boom bap,hip-hop experimental,hip-hop alternativo,jazz rap","Griselda Records",0.461,0.459,1,-12.473,1,0.279,0.61,0.000122,0.111,0.638,163.24,4
spotify:track:0B0lGy8qd6kohNFUz7cneO,"#RICHAXXHAITIAN","#RICHAXXHAITIAN","Mach-Hommy;KAYTRANADA;03 Greedo",2024-05-17,167142,43,true,dinismbraposo,2026-01-19T15:44:52Z,"boom bap,hip-hop experimental,hip-hop alternativo,jazz rap","Mach-Hommy Inc.",0.751,0.751,4,-6.516,1,0.185,0.00796,0,0.155,0.468,111.923,4
spotify:track:6qZxw5qRjxhHiqYFL6aIvW,"PADON","#RICHAXXHAITIAN","Mach-Hommy;Tha God Fahim",2024-05-17,186666,32,true,dinismbraposo,2026-01-19T15:44:54Z,"boom bap,hip-hop experimental,hip-hop alternativo,jazz rap,hip-hop underground,hip-hop da Costa Leste","Mach-Hommy Inc.",0.482,0.802,6,-7.162,1,0.0737,0.000019,0.00118,0.719,0.669,81.045,4
spotify:track:5IL3FhEcFejW8XglJCeIrt,"Mozambique Drill","Wap Konn Jòj!","Mach-Hommy;Tha God Fahim",2022-06-21,162373,24,true,dinismbraposo,2026-01-19T15:44:56Z,"boom bap,hip-hop experimental,hip-hop alternativo,jazz rap,hip-hop underground,hip-hop da Costa Leste","Mach-Hommy, Inc.",0.464,0.602,7,-8.185,1,0.125,0.86,0,0.162,0.664,83.374,4
spotify:track:2V4eAawNoRSM5C2MZIosdg,"Blockchain","Pray For Haiti","Mach-Hommy",2021-05-21,106992,41,true,dinismbraposo,2026-01-19T15:44:58Z,"boom bap,hip-hop experimental,hip-hop alternativo,jazz rap","Griselda Records",0.425,0.464,2,-11.234,1,0.0619,0.588,0.0918,0.138,0.417,86.237,4
spotify:track:2y4ApBwholErnCVyuvF3NI,"ANTONOMASIA","#RICHAXXHAITIAN","Mach-Hommy;Roc Marciano",2024-05-17,146811,32,true,dinismbraposo,2026-01-19T15:45:01Z,"boom bap,hip-hop experimental,hip-hop alternativo,jazz rap,hip-hop underground,hip-hop da Costa Leste","Mach-Hommy Inc.",0.349,0.654,1,-8.119,1,0.0496,0.261,0.0255,0.647,0.543,100.82,4
spotify:track:46B3hajCinvIVqBn12pzGX,"Thank God","HBO (Haitian Body Odor)","Mach-Hommy",2016-08-17,240470,12,true,dinismbraposo,2026-01-19T15:45:05Z,"boom bap,hip-hop experimental,hip-hop alternativo,jazz rap","Mach-Hommy Inc.",0.53,0.684,6,-8.469,1,0.268,0.181,0.00573,0.234,0.584,142.277,4
spotify:track:4w7lBzX0EcDuy8tQLQvjC2,"Scatter Brain (feat. Ludacris & JID)","La Maquina","Conway the Machine;Ludacris;JID",2021-04-16,209117,58,true,dinismbraposo,2026-01-19T15:45:22Z,"boom bap,hip-hop da Costa Leste,hip-hop do sul","Griselda Records / Drumwork / EMPIRE",0.855,0.478,1,-8.698,1,0.107,0.0684,0,0.111,0.355,135.987,4
spotify:track:6rVExngxHtsUSdjmv7Xdxy,"Dough & Damani","From King To A GOD","Conway the Machine",2020-09-11,302363,37,true,dinismbraposo,2026-01-19T15:45:30Z,"boom bap,hip-hop da Costa Leste","Griselda Records / Drumwork / EMPIRE",0.537,0.609,6,-9.627,1,0.127,0.0817,0,0.146,0.241,151.603,4
spotify:track:5n4VgqcZdzbtkV6jYl77aG,"BMG","You Can't Kill God With Bullets","Conway the Machine",2025-12-12,185763,50,true,dinismbraposo,2026-01-19T15:45:32Z,"boom bap,hip-hop da Costa Leste","Drumwork Music Group LLC",0.498,0.829,11,-4.66,0,0.305,0.103,0,0.236,0.404,158.994,4
spotify:track:2CRbHKlh1zDMh9TkFE3ngb,"Gun Powder","You Can't Kill God With Bullets","Conway the Machine",2025-12-12,116571,42,true,dinismbraposo,2026-01-19T15:45:34Z,"boom bap,hip-hop da Costa Leste","Drumwork Music Group LLC",0.489,0.535,10,-5.769,0,0.151,0.353,0.0000219,0.134,0.161,137.96,1
spotify:track:69Hz5cZsUm9syw3U36nynA,"The Lightning Above The Adriatic Sea","You Can't Kill God With Bullets","Conway the Machine",2025-12-12,231023,46,true,dinismbraposo,2026-01-19T15:45:35Z,"boom bap,hip-hop da Costa Leste","Drumwork Music Group LLC",0.46,0.76,1,-5.309,0,0.376,0.0603,0,0.289,0.149,151.323,4
spotify:track:01GIoeBD53uqwe8jGGKPxS,"Diamonds","You Can't Kill God With Bullets","Conway the Machine;Roc Marciano",2025-12-12,194000,45,true,dinismbraposo,2026-01-19T15:45:37Z,"boom bap,hip-hop da Costa Leste,hip-hop underground","Drumwork Music Group LLC",0.522,0.539,2,-6.252,1,0.374,0.867,0,0.389,0.756,137.104,4
spotify:track:3c49DCwBl5CTJGFYllG5Ev,"Hell Let Loose","You Can't Kill God With Bullets","Conway the Machine;Whoo Kid;Tony Yayo",2025-12-12,239104,45,true,dinismbraposo,2026-01-19T15:45:39Z,"boom bap,hip-hop da Costa Leste,hip-hop","Drumwork Music Group LLC",0.596,0.66,4,-7.718,0,0.301,0.131,0,0.4,0.642,80.071,4
spotify:track:05IEv29zs4S1PbJECW6HkL,"Crazy Avery","You Can't Kill God With Bullets","Conway the Machine",2025-12-12,107182,45,true,dinismbraposo,2026-01-19T15:45:42Z,"boom bap,hip-hop da Costa Leste","Drumwork Music Group LLC",0.657,0.799,6,-7.232,0,0.661,0.0521,0,0.37,0.781,79.486,4
spotify:track:40wEBdyYZ09KLhlQTbB2aN,"The Painter","You Can't Kill God With Bullets","Conway the Machine",2025-12-12,282687,45,true,dinismbraposo,2026-01-19T15:45:44Z,"boom bap,hip-hop da Costa Leste","Drumwork Music Group LLC",0.425,0.671,11,-7.341,0,0.368,0.594,0,0.138,0.0984,81.933,4
spotify:track:0q1VbrHLFGwX1ghp91DcsB,"The Undying","You Can't Kill God With Bullets","Conway the Machine",2025-12-12,111739,42,true,dinismbraposo,2026-01-19T15:45:46Z,"boom bap,hip-hop da Costa Leste","Drumwork Music Group LLC",0.482,0.355,0,-7.965,1,0.0549,0.948,0.000307,0.123,0.423,72.212,4
spotify:track:05LERuwwJC1kG4r9THLAah,"Nu Devils","You Can't Kill God With Bullets","Conway the Machine;G Herbo",2025-12-12,321132,46,true,dinismbraposo,2026-01-19T15:45:48Z,"boom bap,hip-hop da Costa Leste,drill de Chicago,drill","Drumwork Music Group LLC",0.5,0.748,5,-6.72,0,0.299,0.318,0,0.595,0.623,142.004,4
spotify:track:4blXqsRudmR9IE1pgTFbcp,"Otis Driftwood","You Can't Kill God With Bullets","Conway the Machine",2025-12-12,229733,43,true,dinismbraposo,2026-01-19T15:45:50Z,"boom bap,hip-hop da Costa Leste","Drumwork Music Group LLC",0.537,0.873,7,-4.603,1,0.396,0.311,0,0.374,0.54,77.211,4
spotify:track:61NPlF1onwQD1Py5Huhvet,"Mahogany Walls","You Can't Kill God With Bullets","Conway the Machine",2025-12-12,223871,46,true,dinismbraposo,2026-01-19T15:45:51Z,"boom bap,hip-hop da Costa Leste","Drumwork Music Group LLC",0.48,0.62,0,-5.124,1,0.325,0.829,0,0.202,0.87,70.395,1
spotify:track:3NI8cI2ZPZA9ruFj6O2LXS,"Parisian Nights","You Can't Kill God With Bullets","Conway the Machine;KNDRX",2025-12-12,229654,52,true,dinismbraposo,2026-01-19T15:45:56Z,"boom bap,hip-hop da Costa Leste","Drumwork Music Group LLC",0.579,0.554,11,-8.515,1,0.2,0.0187,0,0.316,0.281,77.273,4
spotify:track:4V3QwyC5Yt0IRDjigrKVUW,"Se7enteen5ive","You Can't Kill God With Bullets","Conway the Machine",2025-12-12,181831,41,true,dinismbraposo,2026-01-19T15:45:58Z,"boom bap,hip-hop da Costa Leste","Drumwork Music Group LLC",0.269,0.741,8,-6.743,0,0.053,0.0151,0,0.146,0.881,144.276,4
spotify:track:1TdkOqKCHKIjq568dZ2xJv,"Attached","You Can't Kill God With Bullets","Conway the Machine;KNDRX;Lady London",2025-12-12,224656,43,true,dinismbraposo,2026-01-19T15:46:00Z,"boom bap,hip-hop da Costa Leste","Drumwork Music Group LLC",0.454,0.734,1,-7.873,1,0.104,0.0621,0.00000386,0.164,0.344,81.638,4
spotify:track:1xsLi59faKeuhrx0tk1nHb,"I Never Sleep","You Can't Kill God With Bullets","Conway the Machine",2025-12-12,192569,44,true,dinismbraposo,2026-01-19T15:46:02Z,"boom bap,hip-hop da Costa Leste","Drumwork Music Group LLC",0.661,0.786,1,-6.789,1,0.354,0.126,0,0.27,0.597,150.291,4
spotify:track:7iPGzVs8PlAvhmaZ7lhizx,"Hold Back Tears","You Can't Kill God With Bullets","Conway the Machine",2025-12-12,201176,40,true,dinismbraposo,2026-01-19T15:46:04Z,"boom bap,hip-hop da Costa Leste","Drumwork Music Group LLC",0.669,0.758,2,-4.84,1,0.209,0.104,0,0.481,0.334,144.071,4
spotify:track:3EV3pg6a675P4Upu2e2W7k,"Organized Mess","You Can't Kill God With Bullets","Conway the Machine;KNDRX",2025-12-12,157557,39,true,dinismbraposo,2026-01-19T15:46:06Z,"boom bap,hip-hop da Costa Leste","Drumwork Music Group LLC",0.395,0.655,1,-6.615,1,0.0392,0.377,0,0.11,0.111,72.343,4
spotify:track:4X89n8GdTrkycniIfHST9g,"Don’t Even Feel Real (Dreams) - Bonus Track","You Can't Kill God With Bullets","Conway the Machine;Heather Victoria",2025-12-12,213501,41,true,dinismbraposo,2026-01-19T15:46:08Z,"boom bap,hip-hop da Costa Leste,neo-soul","Drumwork Music Group LLC",0.606,0.728,10,-5.864,0,0.177,0.0737,0.0000203,0.109,0.465,171.231,4
spotify:track:3ewqsanI2CJ3vwbP1fzQBE,"Brickmile To Montana","Bo Jackson","Boldy James;The Alchemist;Benny The Butcher",2021-08-13,160120,47,true,dinismbraposo,2026-01-19T15:46:27Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental","ALC / Boldy James",0.551,0.662,6,-10.055,1,0.36,0.771,0.0314,0.304,0.48,149.486,4
spotify:track:1NjgNWzURicunzJ4K2kOvt,"Scrape The Bowl","The Price Of Tea In China","Boldy James;The Alchemist;Benny The Butcher",2020-02-07,218813,45,true,dinismbraposo,2026-01-19T15:46:34Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental","ALC / Boldy James",0.654,0.463,1,-10.64,1,0.397,0.483,0,0.176,0.362,82.108,4
spotify:track:2GI5NXelgE3SeAhm5QKiFM,"5 to 50 (feat. India)","The Plugs I Met","Benny The Butcher;INDIA",2019-06-21,232624,66,true,dinismbraposo,2026-01-19T15:46:39Z,"boom bap","Black Soprano Family, LLC",0.79,0.578,1,-7.915,1,0.17,0.256,0.0000162,0.241,0.36,120.021,4
spotify:track:7qTQQOPfMYjPfXtrTiGlcw,"Langfield","Tana Talk 3","Benny The Butcher",2018-11-23,171468,33,true,dinismbraposo,2026-01-19T15:46:41Z,"boom bap","Griselda Records",0.641,0.585,0,-9.507,1,0.228,0.0477,0,0.697,0.693,152.212,4
spotify:track:3RRjRfsNJ4A5Y3qAgQgAjD,"Photographic Memories (feat. Earl Sweatshirt)","Bo Jackson","Boldy James;The Alchemist;Roc Marciano;Earl Sweatshirt",2021-08-13,233226,52,true,dinismbraposo,2026-01-19T15:46:46Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental,hip-hop underground,hip-hop da Costa Leste","ALC / Boldy James",0.544,0.527,8,-10.708,1,0.389,0.786,0,0.165,0.448,145.041,4
spotify:track:2BpDwT8ZSnuCAyF7BQDUsO,"Carruth","The Price Of Tea In China","Boldy James;The Alchemist",2020-02-07,133560,49,true,dinismbraposo,2026-01-19T15:46:52Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental","ALC / Boldy James",0.545,0.362,6,-13.491,1,0.122,0.83,0.0000346,0.112,0.707,79.288,4
spotify:track:4RNdKWvq8MM0uD4eHESvJM,"Giant Slide","The Price Of Tea In China","Boldy James;The Alchemist",2020-02-07,265333,37,true,dinismbraposo,2026-01-19T15:46:54Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental","ALC / Boldy James",0.583,0.713,1,-9.036,1,0.509,0.466,0,0.385,0.321,146.447,4
spotify:track:0LHTmpuM46uzWYZxLFuOXU,"Surf & Turf","The Price Of Tea In China","Boldy James;The Alchemist;Vince Staples",2020-02-07,223200,47,true,dinismbraposo,2026-01-19T15:46:55Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental","ALC / Boldy James",0.572,0.63,6,-10.152,0,0.405,0.769,0.00000182,0.371,0.621,78.923,4
spotify:track:6q3QO0zATHI5vXI6D7yVp7,"Run-Ins","The Price Of Tea In China","Boldy James;The Alchemist",2020-02-07,149506,37,true,dinismbraposo,2026-01-19T15:46:56Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental","ALC / Boldy James",0.547,0.584,10,-10.671,1,0.349,0.631,0,0.103,0.374,178.122,4
spotify:track:1Cbtn0QXiK4oTlU3pWUeas,"Pinto","The Price Of Tea In China","Boldy James;The Alchemist",2020-02-07,197373,42,true,dinismbraposo,2026-01-19T15:47:01Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental","ALC / Boldy James",0.677,0.473,1,-11.434,1,0.186,0.694,0.00000204,0.185,0.304,79.934,4
spotify:track:4csEaIyWCzvV9dfRIrXo2Q,"Slow Roll","The Price Of Tea In China","Boldy James;The Alchemist",2020-02-07,250760,38,true,dinismbraposo,2026-01-19T15:47:03Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental","ALC / Boldy James",0.701,0.446,7,-10.867,1,0.365,0.212,0.00563,0.565,0.49,140,4
spotify:track:121dfA7j6eDlvLSeGP1ZDU,"S.N.O.R.T.","The Price Of Tea In China","Boldy James;The Alchemist;Freddie Gibbs",2020-02-07,191840,41,true,dinismbraposo,2026-01-19T15:47:05Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental","ALC / Boldy James",0.535,0.589,6,-10.664,0,0.473,0.394,0.000116,0.111,0.591,105.775,5
spotify:track:2E05EFVzoU0gzM85SjMfky,"Grey October","The Price Of Tea In China","Boldy James;The Alchemist;Evidence",2020-02-07,218000,55,true,dinismbraposo,2026-01-19T15:47:07Z,"jazz rap,boom bap,hip-hop alternativo,hip-hop experimental,hip-hop underground","ALC / Boldy James",0.415,0.372,1,-13.237,1,0.0758,0.42,0.74,0.425,0.0653,69.943,4
